Initial train loss-0.0054584
Initial val loss-0.0054647
Epoch-0, train loss-0.1032943, val loss-0.0036694
Epoch-1, train loss-0.0007312, val loss-0.0028691
Epoch-2, train loss-0.0007017, val loss-0.0025642
Epoch-3, train loss-0.0006911, val loss-0.0023872
Epoch-4, train loss-0.0006821, val loss-0.0021414
Epoch-5, train loss-0.0006774, val loss-0.0020355
Epoch-6, train loss-0.0006746, val loss-0.0018709
Epoch-7, train loss-0.0006724, val loss-0.0017055
Epoch-8, train loss-0.0006698, val loss-0.0016745
Epoch-9, train loss-0.0006698, val loss-0.0016861
Epoch-10, train loss-0.0006681, val loss-0.0015845
Epoch-11, train loss-0.0006675, val loss-0.0015827
Epoch-12, train loss-0.0006662, val loss-0.0015915
Epoch-13, train loss-0.0006656, val loss-0.0015790
Epoch-14, train loss-0.0006650, val loss-0.0014934
Epoch-15, train loss-0.0006647, val loss-0.0015729
Epoch-16, train loss-0.0006642, val loss-0.0015554
Epoch-17, train loss-0.0006637, val loss-0.0015291
Epoch-18, train loss-0.0006634, val loss-0.0014979
Epoch-19, train loss-0.0006632, val loss-0.0014763
Epoch-20, train loss-0.0006632, val loss-0.0015558
Epoch-21, train loss-0.0006626, val loss-0.0014929
Epoch-22, train loss-0.0006627, val loss-0.0015538
Epoch-23, train loss-0.0006623, val loss-0.0015686
Epoch-24, train loss-0.0006620, val loss-0.0015149
Epoch-25, train loss-0.0006621, val loss-0.0015289
Epoch-26, train loss-0.0006612, val loss-0.0014888
Epoch-27, train loss-0.0006605, val loss-0.0015078
Epoch-28, train loss-0.0006600, val loss-0.0015186
Epoch-29, train loss-0.0006592, val loss-0.0014141
Epoch-30, train loss-0.0006592, val loss-0.0014452
Epoch-31, train loss-0.0006590, val loss-0.0014533
Epoch-32, train loss-0.0006592, val loss-0.0014663
Epoch-33, train loss-0.0006591, val loss-0.0013723
Epoch-34, train loss-0.0006584, val loss-0.0013311
Epoch-35, train loss-0.0006582, val loss-0.0013305
Epoch-36, train loss-0.0006584, val loss-0.0013595
Epoch-37, train loss-0.0006578, val loss-0.0013087
Epoch-38, train loss-0.0006578, val loss-0.0013255
Epoch-39, train loss-0.0006580, val loss-0.0013012
Epoch-40, train loss-0.0006577, val loss-0.0012563
Epoch-41, train loss-0.0006575, val loss-0.0012330
Epoch-42, train loss-0.0006574, val loss-0.0012606
Epoch-43, train loss-0.0006581, val loss-0.0012216
Epoch-44, train loss-0.0006573, val loss-0.0012062
Epoch-45, train loss-0.0006576, val loss-0.0011869
Epoch-46, train loss-0.0006570, val loss-0.0011655
Epoch-47, train loss-0.0006568, val loss-0.0011830
Epoch-48, train loss-0.0006568, val loss-0.0011461
Epoch-49, train loss-0.0006565, val loss-0.0011619
Epoch-50, train loss-0.0006569, val loss-0.0011741
Epoch-51, train loss-0.0006568, val loss-0.0011331
Epoch-52, train loss-0.0006568, val loss-0.0011158
Epoch-53, train loss-0.0006565, val loss-0.0011317
Epoch-54, train loss-0.0006566, val loss-0.0011386
Epoch-55, train loss-0.0006569, val loss-0.0011186
Epoch-56, train loss-0.0006570, val loss-0.0010957
Epoch-57, train loss-0.0006571, val loss-0.0010788
Epoch-58, train loss-0.0006567, val loss-0.0010881
Epoch-59, train loss-0.0006568, val loss-0.0010742
Epoch-60, train loss-0.0006571, val loss-0.0010518
Epoch-61, train loss-0.0006569, val loss-0.0010743
Epoch-62, train loss-0.0006566, val loss-0.0010495
Epoch-63, train loss-0.0006570, val loss-0.0010686
Epoch-64, train loss-0.0006568, val loss-0.0010521
Epoch-65, train loss-0.0006564, val loss-0.0010607
Epoch-66, train loss-0.0006571, val loss-0.0010504
Epoch-67, train loss-0.0006562, val loss-0.0010405
Epoch-68, train loss-0.0006568, val loss-0.0010213
Epoch-69, train loss-0.0006571, val loss-0.0010122
Epoch-70, train loss-0.0006572, val loss-0.0009988
Epoch-71, train loss-0.0006564, val loss-0.0009950
Epoch-72, train loss-0.0006565, val loss-0.0009830
Epoch-73, train loss-0.0006566, val loss-0.0009701
Epoch-74, train loss-0.0006570, val loss-0.0010150
Epoch-75, train loss-0.0006573, val loss-0.0009716
Epoch-76, train loss-0.0006570, val loss-0.0009645
Epoch-77, train loss-0.0006567, val loss-0.0009742
Epoch-78, train loss-0.0006566, val loss-0.0009612
Epoch-79, train loss-0.0006567, val loss-0.0009191
Epoch-80, train loss-0.0006572, val loss-0.0009408
Epoch-81, train loss-0.0006566, val loss-0.0009506
Epoch-82, train loss-0.0006567, val loss-0.0009151
Epoch-83, train loss-0.0006570, val loss-0.0009476
Epoch-84, train loss-0.0006567, val loss-0.0009362
Epoch-85, train loss-0.0006565, val loss-0.0009373
Epoch-86, train loss-0.0006574, val loss-0.0009004
Epoch-87, train loss-0.0006572, val loss-0.0009322
Epoch-88, train loss-0.0006564, val loss-0.0009279
Epoch-89, train loss-0.0006568, val loss-0.0009239
Epoch-90, train loss-0.0006568, val loss-0.0009309
Epoch-91, train loss-0.0006563, val loss-0.0008943
Epoch-92, train loss-0.0006564, val loss-0.0009180
Epoch-93, train loss-0.0006565, val loss-0.0009082
Epoch-94, train loss-0.0006560, val loss-0.0009440
Epoch-95, train loss-0.0006562, val loss-0.0009453
Epoch-96, train loss-0.0006566, val loss-0.0009252
Epoch-97, train loss-0.0006594, val loss-0.0009216
Epoch-98, train loss-0.0006567, val loss-0.0009420
Epoch-99, train loss-0.0006562, val loss-0.0009351
Epoch-100, train loss-0.0006563, val loss-0.0009350
Epoch-101, train loss-0.0006559, val loss-0.0009440
Epoch-102, train loss-0.0006560, val loss-0.0009331
Epoch-103, train loss-0.0006563, val loss-0.0009243
Epoch-104, train loss-0.0006557, val loss-0.0008922
Epoch-105, train loss-0.0006559, val loss-0.0009253
Epoch-106, train loss-0.0006557, val loss-0.0009750
Epoch-107, train loss-0.0006558, val loss-0.0009261
Epoch-108, train loss-0.0006563, val loss-0.0009078
Epoch-109, train loss-0.0006563, val loss-0.0009573
Epoch-110, train loss-0.0006554, val loss-0.0009305
Epoch-111, train loss-0.0006557, val loss-0.0009197
Epoch-112, train loss-0.0006558, val loss-0.0009191
Epoch-113, train loss-0.0006564, val loss-0.0008751
Epoch-114, train loss-0.0006551, val loss-0.0008876
Epoch-115, train loss-0.0006560, val loss-0.0008681
Epoch-116, train loss-0.0006553, val loss-0.0008543
Epoch-117, train loss-0.0006551, val loss-0.0008624
Epoch-118, train loss-0.0006553, val loss-0.0008820
Epoch-119, train loss-0.0006557, val loss-0.0008386
Epoch-120, train loss-0.0006555, val loss-0.0008365
Epoch-121, train loss-0.0006550, val loss-0.0008201
Epoch-122, train loss-0.0006553, val loss-0.0008160
Epoch-123, train loss-0.0006553, val loss-0.0007911
Epoch-124, train loss-0.0006551, val loss-0.0008018
Epoch-125, train loss-0.0006556, val loss-0.0007931
Epoch-126, train loss-0.0006553, val loss-0.0008100
Epoch-127, train loss-0.0006549, val loss-0.0007843
Epoch-128, train loss-0.0006549, val loss-0.0007988
Epoch-129, train loss-0.0006556, val loss-0.0007770
Epoch-130, train loss-0.0006551, val loss-0.0007656
Epoch-131, train loss-0.0006551, val loss-0.0007735
Epoch-132, train loss-0.0006550, val loss-0.0007786
Epoch-133, train loss-0.0006552, val loss-0.0007509
Epoch-134, train loss-0.0006549, val loss-0.0007650
Epoch-135, train loss-0.0006550, val loss-0.0007517
Epoch-136, train loss-0.0006549, val loss-0.0007589
Epoch-137, train loss-0.0006549, val loss-0.0007624
Epoch-138, train loss-0.0006551, val loss-0.0007437
Epoch-139, train loss-0.0006551, val loss-0.0007575
Epoch-140, train loss-0.0006550, val loss-0.0007465
Epoch-141, train loss-0.0006549, val loss-0.0007479
Epoch-142, train loss-0.0006545, val loss-0.0007443
Epoch-143, train loss-0.0006544, val loss-0.0007361
Epoch-144, train loss-0.0006547, val loss-0.0007508
Epoch-145, train loss-0.0006549, val loss-0.0007527
Epoch-146, train loss-0.0006548, val loss-0.0007410
Epoch-147, train loss-0.0006547, val loss-0.0007471
Epoch-148, train loss-0.0006548, val loss-0.0007407
Epoch-149, train loss-0.0006550, val loss-0.0007367
Epoch-150, train loss-0.0006546, val loss-0.0007415
Epoch-151, train loss-0.0006550, val loss-0.0007377
Epoch-152, train loss-0.0006549, val loss-0.0007314
Epoch-153, train loss-0.0006549, val loss-0.0007434
Epoch-154, train loss-0.0006550, val loss-0.0007311
Epoch-155, train loss-0.0006545, val loss-0.0007272
Epoch-156, train loss-0.0006550, val loss-0.0007290
Epoch-157, train loss-0.0006549, val loss-0.0007252
Epoch-158, train loss-0.0006551, val loss-0.0007254
Epoch-159, train loss-0.0006541, val loss-0.0007209
Epoch-160, train loss-0.0006549, val loss-0.0007223
Epoch-161, train loss-0.0006546, val loss-0.0007261
Epoch-162, train loss-0.0006548, val loss-0.0007227
Epoch-163, train loss-0.0006544, val loss-0.0007279
Epoch-164, train loss-0.0006545, val loss-0.0007237
Epoch-165, train loss-0.0006547, val loss-0.0007314
Epoch-166, train loss-0.0006548, val loss-0.0007174
Epoch-167, train loss-0.0006548, val loss-0.0007341
Epoch-168, train loss-0.0006548, val loss-0.0007228
Epoch-169, train loss-0.0006547, val loss-0.0007160
Epoch-170, train loss-0.0006546, val loss-0.0007224
Epoch-171, train loss-0.0006548, val loss-0.0007162
Epoch-172, train loss-0.0006546, val loss-0.0007217
Epoch-173, train loss-0.0006546, val loss-0.0007215
Epoch-174, train loss-0.0006546, val loss-0.0007169
Epoch-175, train loss-0.0006546, val loss-0.0007202
Epoch-176, train loss-0.0006545, val loss-0.0007195
Epoch-177, train loss-0.0006549, val loss-0.0007178
Epoch-178, train loss-0.0006544, val loss-0.0007217
Epoch-179, train loss-0.0006546, val loss-0.0007296
Epoch-180, train loss-0.0006546, val loss-0.0007215
Epoch-181, train loss-0.0006544, val loss-0.0007163
Epoch-182, train loss-0.0006545, val loss-0.0007172
Epoch-183, train loss-0.0006547, val loss-0.0007236
Epoch-184, train loss-0.0006544, val loss-0.0007251
Epoch-185, train loss-0.0006546, val loss-0.0007317
Epoch-186, train loss-0.0006544, val loss-0.0007202
Epoch-187, train loss-0.0006544, val loss-0.0007245
Epoch-188, train loss-0.0006546, val loss-0.0007192
Epoch-189, train loss-0.0006545, val loss-0.0007243
Epoch-190, train loss-0.0006548, val loss-0.0007251
Epoch-191, train loss-0.0006544, val loss-0.0007210
Epoch-192, train loss-0.0006543, val loss-0.0007196
Epoch-193, train loss-0.0006546, val loss-0.0007207
Epoch-194, train loss-0.0006545, val loss-0.0007291
Epoch-195, train loss-0.0006545, val loss-0.0007250
Epoch-196, train loss-0.0006543, val loss-0.0007183
Epoch-197, train loss-0.0006542, val loss-0.0007216
Epoch-198, train loss-0.0006545, val loss-0.0007200
Epoch-199, train loss-0.0006545, val loss-0.0007171
Epoch-200, train loss-0.0006541, val loss-0.0007240
Epoch-201, train loss-0.0006543, val loss-0.0007212
Epoch-202, train loss-0.0006546, val loss-0.0007179
Epoch-203, train loss-0.0006546, val loss-0.0007289
Epoch-204, train loss-0.0006546, val loss-0.0007134
Epoch-205, train loss-0.0006538, val loss-0.0007252
Epoch-206, train loss-0.0006546, val loss-0.0007188
Epoch-207, train loss-0.0006545, val loss-0.0007136
Epoch-208, train loss-0.0006542, val loss-0.0007258
Epoch-209, train loss-0.0006543, val loss-0.0007328
Epoch-210, train loss-0.0006542, val loss-0.0007249
Epoch-211, train loss-0.0006541, val loss-0.0007206
Epoch-212, train loss-0.0006542, val loss-0.0007149
Epoch-213, train loss-0.0006542, val loss-0.0007234
Epoch-214, train loss-0.0006543, val loss-0.0007182
Epoch-215, train loss-0.0006543, val loss-0.0007295
Epoch-216, train loss-0.0006543, val loss-0.0007279
Epoch-217, train loss-0.0006543, val loss-0.0007183
Epoch-218, train loss-0.0006540, val loss-0.0007259
Epoch-219, train loss-0.0006542, val loss-0.0007251
Epoch-220, train loss-0.0006541, val loss-0.0007322
Epoch-221, train loss-0.0006540, val loss-0.0007267
Epoch-222, train loss-0.0006543, val loss-0.0007379
Epoch-223, train loss-0.0006543, val loss-0.0007232
Epoch-224, train loss-0.0006539, val loss-0.0007359
Epoch-225, train loss-0.0006543, val loss-0.0007317
Epoch-226, train loss-0.0006539, val loss-0.0007292
Epoch-227, train loss-0.0006542, val loss-0.0007199
Epoch-228, train loss-0.0006541, val loss-0.0007298
Epoch-229, train loss-0.0006537, val loss-0.0007271
Epoch-230, train loss-0.0006541, val loss-0.0007217
Epoch-231, train loss-0.0006540, val loss-0.0007209
Epoch-232, train loss-0.0006540, val loss-0.0007265
Epoch-233, train loss-0.0006535, val loss-0.0007231
Epoch-234, train loss-0.0006542, val loss-0.0007205
Epoch-235, train loss-0.0006543, val loss-0.0007305
Epoch-236, train loss-0.0006543, val loss-0.0007187
Epoch-237, train loss-0.0006541, val loss-0.0007280
Epoch-238, train loss-0.0006541, val loss-0.0007282
Epoch-239, train loss-0.0006539, val loss-0.0007300
Epoch-240, train loss-0.0006541, val loss-0.0007344
Epoch-241, train loss-0.0006539, val loss-0.0007250
Epoch-242, train loss-0.0006537, val loss-0.0007423
Epoch-243, train loss-0.0006542, val loss-0.0007330
Epoch-244, train loss-0.0006536, val loss-0.0007333
Epoch-245, train loss-0.0006540, val loss-0.0007290
Epoch-246, train loss-0.0006536, val loss-0.0007314
Epoch-247, train loss-0.0006536, val loss-0.0007324
Epoch-248, train loss-0.0006540, val loss-0.0007214
Epoch-249, train loss-0.0006540, val loss-0.0007245
Epoch-250, train loss-0.0006542, val loss-0.0007708
Epoch-251, train loss-0.0006539, val loss-0.0007271
Epoch-252, train loss-0.0006540, val loss-0.0007311
Epoch-253, train loss-0.0006537, val loss-0.0007249
Epoch-254, train loss-0.0006535, val loss-0.0007322
Epoch-255, train loss-0.0006536, val loss-0.0007244
Epoch-256, train loss-0.0006541, val loss-0.0007245
Epoch-257, train loss-0.0006533, val loss-0.0007296
Epoch-258, train loss-0.0006538, val loss-0.0007347
Epoch-259, train loss-0.0006537, val loss-0.0007253
Epoch-260, train loss-0.0006535, val loss-0.0007196
Epoch-261, train loss-0.0006535, val loss-0.0007214
Epoch-262, train loss-0.0006533, val loss-0.0007148
Epoch-263, train loss-0.0006541, val loss-0.0007073
Epoch-264, train loss-0.0006542, val loss-0.0007087
Epoch-265, train loss-0.0006537, val loss-0.0007078
Epoch-266, train loss-0.0006537, val loss-0.0007154
Epoch-267, train loss-0.0006542, val loss-0.0007152
Epoch-268, train loss-0.0006541, val loss-0.0007119
Epoch-269, train loss-0.0006538, val loss-0.0007103
Epoch-270, train loss-0.0006538, val loss-0.0007219
Epoch-271, train loss-0.0006539, val loss-0.0007213
Epoch-272, train loss-0.0006535, val loss-0.0007169
Epoch-273, train loss-0.0006539, val loss-0.0007062
Epoch-274, train loss-0.0006539, val loss-0.0007108
Epoch-275, train loss-0.0006538, val loss-0.0007087
Epoch-276, train loss-0.0006533, val loss-0.0007145
Epoch-277, train loss-0.0006534, val loss-0.0007663
Epoch-278, train loss-0.0006532, val loss-0.0007041
Epoch-279, train loss-0.0006532, val loss-0.0007018
Epoch-280, train loss-0.0006534, val loss-0.0007019
Epoch-281, train loss-0.0006531, val loss-0.0007046
Epoch-282, train loss-0.0006534, val loss-0.0007012
Epoch-283, train loss-0.0006532, val loss-0.0007159
Epoch-284, train loss-0.0006536, val loss-0.0007043
Epoch-285, train loss-0.0006531, val loss-0.0007013
Epoch-286, train loss-0.0006537, val loss-0.0007023
Epoch-287, train loss-0.0006533, val loss-0.0006995
Epoch-288, train loss-0.0006528, val loss-0.0007037
Epoch-289, train loss-0.0006534, val loss-0.0006991
Epoch-290, train loss-0.0006533, val loss-0.0006982
Epoch-291, train loss-0.0006533, val loss-0.0007013
Epoch-292, train loss-0.0006536, val loss-0.0006976
Epoch-293, train loss-0.0006531, val loss-0.0006961
Epoch-294, train loss-0.0006534, val loss-0.0006999
Epoch-295, train loss-0.0006531, val loss-0.0006992
Epoch-296, train loss-0.0006532, val loss-0.0006991
Epoch-297, train loss-0.0006529, val loss-0.0007005
Epoch-298, train loss-0.0006530, val loss-0.0006995
Epoch-299, train loss-0.0006528, val loss-0.0006985
Epoch-300, train loss-0.0006529, val loss-0.0006997
Epoch-301, train loss-0.0006527, val loss-0.0006989
Epoch-302, train loss-0.0006525, val loss-0.0006989
Epoch-303, train loss-0.0006527, val loss-0.0007020
Epoch-304, train loss-0.0006529, val loss-0.0006991
Epoch-305, train loss-0.0006527, val loss-0.0006985
Epoch-306, train loss-0.0006524, val loss-0.0006980
Epoch-307, train loss-0.0006526, val loss-0.0006986
Epoch-308, train loss-0.0006529, val loss-0.0006968
Epoch-309, train loss-0.0006526, val loss-0.0006980
Epoch-310, train loss-0.0006524, val loss-0.0007058
Epoch-311, train loss-0.0006529, val loss-0.0007050
Epoch-312, train loss-0.0006524, val loss-0.0007013
Epoch-313, train loss-0.0006529, val loss-0.0007018
Epoch-314, train loss-0.0006524, val loss-0.0007008
Epoch-315, train loss-0.0006525, val loss-0.0007004
Epoch-316, train loss-0.0006523, val loss-0.0007156
Epoch-317, train loss-0.0006526, val loss-0.0007040
Epoch-318, train loss-0.0006524, val loss-0.0007024
Epoch-319, train loss-0.0006527, val loss-0.0007002
Epoch-320, train loss-0.0006523, val loss-0.0007232
Epoch-321, train loss-0.0006524, val loss-0.0007155
Epoch-322, train loss-0.0006524, val loss-0.0007166
Epoch-323, train loss-0.0006521, val loss-0.0007050
Epoch-324, train loss-0.0006524, val loss-0.0007117
Epoch-325, train loss-0.0006522, val loss-0.0007251
Epoch-326, train loss-0.0006516, val loss-0.0007130
Epoch-327, train loss-0.0006518, val loss-0.0007070
