Initial train loss-0.0032025
Initial val loss-0.0032251
Epoch-0, train loss-0.0775984, val loss-0.0042424
Epoch-1, train loss-0.0007062, val loss-0.0038668
Epoch-2, train loss-0.0006784, val loss-0.0047565
Epoch-3, train loss-0.0006715, val loss-0.0032837
Epoch-4, train loss-0.0006678, val loss-0.0028088
Epoch-5, train loss-0.0006665, val loss-0.0045724
Epoch-6, train loss-0.0006652, val loss-0.0022514
Epoch-7, train loss-0.0006646, val loss-0.0033919
Epoch-8, train loss-0.0006640, val loss-0.0029271
Epoch-9, train loss-0.0006629, val loss-0.0033094
Epoch-10, train loss-0.0006623, val loss-0.0028763
Epoch-11, train loss-0.0006615, val loss-0.0025794
Epoch-12, train loss-0.0006611, val loss-0.0028018
Epoch-13, train loss-0.0006608, val loss-0.0037330
Epoch-14, train loss-0.0006598, val loss-0.0028846
Epoch-15, train loss-0.0006598, val loss-0.0020292
Epoch-16, train loss-0.0006594, val loss-0.0022777
Epoch-17, train loss-0.0006587, val loss-0.0021442
Epoch-18, train loss-0.0006588, val loss-0.0021361
Epoch-19, train loss-0.0006585, val loss-0.0026825
Epoch-20, train loss-0.0006584, val loss-0.0034454
Epoch-21, train loss-0.0006583, val loss-0.0031333
Epoch-22, train loss-0.0006577, val loss-0.0025693
Epoch-23, train loss-0.0006574, val loss-0.0028482
Epoch-24, train loss-0.0006575, val loss-0.0025209
Epoch-25, train loss-0.0006574, val loss-0.0031676
Epoch-26, train loss-0.0006572, val loss-0.0025925
Epoch-27, train loss-0.0006575, val loss-0.0028079
Epoch-28, train loss-0.0006574, val loss-0.0026542
Epoch-29, train loss-0.0006573, val loss-0.0022579
Epoch-30, train loss-0.0006570, val loss-0.0031971
Epoch-31, train loss-0.0006569, val loss-0.0019013
Epoch-32, train loss-0.0006566, val loss-0.0028980
Epoch-33, train loss-0.0006568, val loss-0.0021020
Epoch-34, train loss-0.0006569, val loss-0.0022388
Epoch-35, train loss-0.0006568, val loss-0.0026634
Epoch-36, train loss-0.0006568, val loss-0.0023009
Epoch-37, train loss-0.0006569, val loss-0.0030636
Epoch-38, train loss-0.0006571, val loss-0.0030705
Epoch-39, train loss-0.0006566, val loss-0.0025544
Epoch-40, train loss-0.0006571, val loss-0.0027042
Epoch-41, train loss-0.0006568, val loss-0.0024962
Epoch-42, train loss-0.0006571, val loss-0.0021625
Epoch-43, train loss-0.0006569, val loss-0.0020881
Epoch-44, train loss-0.0006567, val loss-0.0018747
Epoch-45, train loss-0.0006562, val loss-0.0021190
Epoch-46, train loss-0.0006568, val loss-0.0024202
Epoch-47, train loss-0.0006574, val loss-0.0019516
Epoch-48, train loss-0.0006570, val loss-0.0022194
Epoch-49, train loss-0.0006571, val loss-0.0030924
Epoch-50, train loss-0.0006585, val loss-0.0023991
Epoch-51, train loss-0.0006578, val loss-0.0024074
Epoch-52, train loss-0.0006568, val loss-0.0026619
Epoch-53, train loss-0.0006586, val loss-0.0021488
Epoch-54, train loss-0.0006581, val loss-0.0025467
Epoch-55, train loss-0.0006572, val loss-0.0020242
Epoch-56, train loss-0.0006573, val loss-0.0035979
Epoch-57, train loss-0.0006574, val loss-0.0024212
Epoch-58, train loss-0.0006587, val loss-0.0033138
Epoch-59, train loss-0.0006603, val loss-0.0021930
Epoch-60, train loss-0.0006583, val loss-0.0093296
Epoch-61, train loss-0.0006622, val loss-0.0013105
Epoch-62, train loss-0.0006741, val loss-0.0018442
Epoch-63, train loss-0.0006582, val loss-0.0013969
Epoch-64, train loss-0.0006585, val loss-0.0016321
Epoch-65, train loss-0.0006590, val loss-0.0013291
Epoch-66, train loss-0.0006581, val loss-0.0021481
Epoch-67, train loss-0.0006588, val loss-0.0017804
