Initial train loss-0.0044667
Initial val loss-0.0044895
Epoch-0, train loss-0.0383190, val loss-0.0017932
Epoch-1, train loss-0.0007415, val loss-0.0020551
Epoch-2, train loss-0.0007186, val loss-0.0021102
Epoch-3, train loss-0.0006917, val loss-0.0022499
Epoch-4, train loss-0.0006823, val loss-0.0034203
Epoch-5, train loss-0.0006754, val loss-0.0031281
Epoch-6, train loss-0.0006708, val loss-0.0037734
Epoch-7, train loss-0.0006660, val loss-0.0044154
Epoch-8, train loss-0.0006642, val loss-0.0039880
Epoch-9, train loss-0.0006626, val loss-0.0034650
Epoch-10, train loss-0.0006617, val loss-0.0040692
Epoch-11, train loss-0.0006617, val loss-0.0042054
Epoch-12, train loss-0.0006607, val loss-0.0038171
Epoch-13, train loss-0.0006601, val loss-0.0040272
Epoch-14, train loss-0.0006597, val loss-0.0062600
Epoch-15, train loss-0.0006602, val loss-0.0057175
Epoch-16, train loss-0.0006598, val loss-0.0046797
Epoch-17, train loss-0.0006592, val loss-0.0063228
Epoch-18, train loss-0.0006590, val loss-0.0041624
Epoch-19, train loss-0.0006589, val loss-0.0028588
Epoch-20, train loss-0.0006582, val loss-0.0066036
Epoch-21, train loss-0.0006586, val loss-0.0056732
Epoch-22, train loss-0.0006582, val loss-0.0052156
Epoch-23, train loss-0.0006580, val loss-0.0060741
Epoch-24, train loss-0.0006583, val loss-0.0049269
Epoch-25, train loss-0.0006585, val loss-0.0042620
Epoch-26, train loss-0.0006589, val loss-0.0051245
Epoch-27, train loss-0.0006589, val loss-0.0048871
Epoch-28, train loss-0.0006587, val loss-0.0042096
Epoch-29, train loss-0.0006580, val loss-0.0038057
Epoch-30, train loss-0.0006578, val loss-0.0039099
Epoch-31, train loss-0.0006583, val loss-0.0059732
Epoch-32, train loss-0.0006583, val loss-0.0033605
Epoch-33, train loss-0.0006584, val loss-0.0089067
Epoch-34, train loss-0.0006572, val loss-0.0045203
Epoch-35, train loss-0.0006580, val loss-0.0060179
Epoch-36, train loss-0.0006579, val loss-0.0058708
Epoch-37, train loss-0.0006601, val loss-0.0089284
Epoch-38, train loss-0.0006594, val loss-0.0035915
Epoch-39, train loss-0.0006604, val loss-0.0049437
Epoch-40, train loss-0.0006602, val loss-0.0053166
Epoch-41, train loss-0.0006610, val loss-0.0046123
Epoch-42, train loss-0.0006632, val loss-0.0039252
Epoch-43, train loss-0.0006605, val loss-0.0043362
Epoch-44, train loss-0.0006618, val loss-0.0045050
Epoch-45, train loss-0.0006591, val loss-0.0034057
Epoch-46, train loss-0.0006636, val loss-0.0048815
Epoch-47, train loss-0.0006601, val loss-0.0044506
Epoch-48, train loss-0.0006601, val loss-0.0037867
Epoch-49, train loss-0.0006660, val loss-0.0045876
Epoch-50, train loss-0.0006628, val loss-0.0050055
Epoch-51, train loss-0.0006614, val loss-0.0060683
Epoch-52, train loss-0.0006590, val loss-0.0030926
Epoch-53, train loss-0.0006631, val loss-0.0046779
Epoch-54, train loss-0.0006621, val loss-0.0032191
Epoch-55, train loss-0.0006609, val loss-0.0062208
Epoch-56, train loss-0.0006600, val loss-0.0033356
Epoch-57, train loss-0.0006669, val loss-0.0027693
Epoch-58, train loss-0.0006599, val loss-0.0025221
Epoch-59, train loss-0.0006613, val loss-0.0030304
Epoch-60, train loss-0.0006639, val loss-0.0030501
Epoch-61, train loss-0.0006598, val loss-0.0036952
Epoch-62, train loss-0.0006634, val loss-0.0035838
Epoch-63, train loss-0.0006617, val loss-0.0035482
Epoch-64, train loss-0.0006616, val loss-0.0033693
Epoch-65, train loss-0.0006633, val loss-0.0028872
Epoch-66, train loss-0.0006619, val loss-0.0032288
Epoch-67, train loss-0.0006606, val loss-0.0027513
Epoch-68, train loss-0.0006641, val loss-0.0026551
Epoch-69, train loss-0.0006613, val loss-0.0029061
Epoch-70, train loss-0.0006619, val loss-0.0029809
Epoch-71, train loss-0.0006632, val loss-0.0024915
Epoch-72, train loss-0.0006605, val loss-0.0023495
Epoch-73, train loss-0.0006653, val loss-0.0021444
Epoch-74, train loss-0.0006632, val loss-0.0019411
Epoch-75, train loss-0.0006655, val loss-0.0031089
Epoch-76, train loss-0.0006614, val loss-0.0027210
Epoch-77, train loss-0.0006613, val loss-0.0025686
Epoch-78, train loss-0.0006610, val loss-0.0025442
Epoch-79, train loss-0.0006634, val loss-0.0022813
Epoch-80, train loss-0.0006616, val loss-0.0023031
Epoch-81, train loss-0.0006612, val loss-0.0021018
Epoch-82, train loss-0.0006624, val loss-0.0017188
Epoch-83, train loss-0.0006599, val loss-0.0020045
Epoch-84, train loss-0.0006604, val loss-0.0022318
Epoch-85, train loss-0.0006639, val loss-0.0021839
Epoch-86, train loss-0.0006610, val loss-0.0022719
Epoch-87, train loss-0.0006614, val loss-0.0019960
Epoch-88, train loss-0.0006607, val loss-0.0018915
Epoch-89, train loss-0.0006605, val loss-0.0018847
Epoch-90, train loss-0.0006626, val loss-0.0022476
Epoch-91, train loss-0.0006612, val loss-0.0018302
Epoch-92, train loss-0.0006617, val loss-0.0020727
Epoch-93, train loss-0.0006591, val loss-0.0025860
