Initial train loss-0.0050512
Initial val loss-0.0050739
Epoch-0, train loss-0.0230342, val loss-0.0015060
Epoch-1, train loss-0.0007015, val loss-0.0015385
Epoch-2, train loss-0.0006797, val loss-0.0022562
Epoch-3, train loss-0.0006722, val loss-0.0019967
Epoch-4, train loss-0.0006685, val loss-0.0021364
Epoch-5, train loss-0.0006649, val loss-0.0017306
Epoch-6, train loss-0.0006640, val loss-0.0015464
Epoch-7, train loss-0.0006628, val loss-0.0014490
Epoch-8, train loss-0.0006615, val loss-0.0014609
Epoch-9, train loss-0.0006609, val loss-0.0015251
Epoch-10, train loss-0.0006595, val loss-0.0015112
Epoch-11, train loss-0.0006596, val loss-0.0013993
Epoch-12, train loss-0.0006591, val loss-0.0017122
Epoch-13, train loss-0.0006592, val loss-0.0017159
Epoch-14, train loss-0.0006584, val loss-0.0011658
Epoch-15, train loss-0.0006587, val loss-0.0012853
Epoch-16, train loss-0.0006583, val loss-0.0010527
Epoch-17, train loss-0.0006581, val loss-0.0013970
Epoch-18, train loss-0.0006578, val loss-0.0014920
Epoch-19, train loss-0.0006578, val loss-0.0012310
Epoch-20, train loss-0.0006576, val loss-0.0015976
Epoch-21, train loss-0.0006575, val loss-0.0014359
Epoch-22, train loss-0.0006576, val loss-0.0014621
Epoch-23, train loss-0.0006577, val loss-0.0022191
Epoch-24, train loss-0.0006579, val loss-0.0018710
Epoch-25, train loss-0.0006576, val loss-0.0011907
Epoch-26, train loss-0.0006572, val loss-0.0012228
Epoch-27, train loss-0.0006571, val loss-0.0019464
Epoch-28, train loss-0.0006573, val loss-0.0018791
Epoch-29, train loss-0.0006569, val loss-0.0018750
Epoch-30, train loss-0.0006566, val loss-0.0021757
Epoch-31, train loss-0.0006564, val loss-0.0033473
Epoch-32, train loss-0.0006566, val loss-0.0018193
Epoch-33, train loss-0.0006563, val loss-0.0015735
Epoch-34, train loss-0.0006573, val loss-0.0021841
Epoch-35, train loss-0.0006561, val loss-0.0014953
Epoch-36, train loss-0.0006574, val loss-0.0072864
Epoch-37, train loss-0.0006563, val loss-0.0032907
